id,tag
00841506117614,alcohol consumption
54119670015212,cardiovascular disease
54119670015144,cardiovascular disease
54119670001970,cardiovascular disease
05411967003020,cardiovascular disease
00386100002244,cardiovascular disease
00817302022063,cardiovascular disease
00817302022056,cardiovascular disease
00817302022094,cardiovascular disease
00817302022087,cardiovascular disease
00817302022070,cardiovascular disease
00083059070330,cardiovascular disease
00817274021484,cardiovascular disease
00817274021477,cardiovascular disease
08305900070330,cardiovascular disease
00842768016028,cardiovascular disease
15099590203160,cardiovascular disease
15099590010959,cardiovascular disease
15099590010447,cardiovascular disease
15099590231910,cardiovascular disease
15099590228682,cardiovascular disease
15099590227005,cardiovascular disease
15099590225391,cardiovascular disease
15099590224455,cardiovascular disease
04048474039542,cardiovascular disease
00380740010492,cardiovascular disease
00380740010485,cardiovascular disease
00380740181024,cardiovascular disease
00380740180331,cardiovascular disease
00380740158507,cardiovascular disease
00380740158491,cardiovascular disease
08806679001520,cardiovascular disease
00840239039545,cardiovascular disease
00811727015815,cardiovascular disease
00811727013514,cardiovascular disease
00811727016126,cardiovascular disease
00811727011039,cardiovascular disease
00811727011022,cardiovascular disease
00895160002670,cardiovascular disease
00894175000312,cardiovascular disease
00817089021280,cardiovascular disease
00817089020313,cardiovascular disease
00817274021361,cardiovascular disease
03610230007297,cardiovascular disease
03610230004791,cardiovascular disease
03610230004760,cardiovascular disease
03610230004487,cardiovascular disease
08806133010099,cardiovascular disease
04015630946853,cardiovascular disease
04015630946846,cardiovascular disease
04015630946839,cardiovascular disease
04015630923274,cardiovascular disease
04015630923267,cardiovascular disease
04015630921508,cardiovascular disease
04015630913633,cardiovascular disease
04015630912209,cardiovascular disease
00811727016126,cardiovascular disease
00811727015815,cardiovascular disease
00811727013514,cardiovascular disease
00811727011039,cardiovascular disease
00811727011022,cardiovascular disease
06438115000099,cardiovascular disease
07613336121207,cardiovascular disease
07613336121191,cardiovascular disease
07613336121184,cardiovascular disease
00630414475707,cardiovascular disease
00630414596198,cardiovascular disease
00630414596174,cardiovascular disease
00630414552699,cardiovascular disease
00630414552118,cardiovascular disease
00630414505992,cardiovascular disease
00628063400430,cardiovascular disease
00628063400218,cardiovascular disease
00628063400041,cardiovascular disease
05051700020152,cardiovascular disease
05051700018456,cardiovascular disease
00842768014130,cardiovascular disease
00842768012778,cardiovascular disease
00842768011085,cardiovascular disease
00842768011078,cardiovascular disease
00842768007736,cardiovascular disease
00842768007729,cardiovascular disease
